time_step,step_idx,x,y,cur_x,cur_y
13,9,0.18054,0.0175973,0.00174916,1.65616e-06
13,10,0.200066,0.0219248,0.00174916,1.65616e-06
14,0,0.00201167,2.20716e-06,0.00201167,2.20716e-06
14,1,0.0220116,5.04872e-05,0.00201167,2.20716e-06
14,2,0.0420024,0.000658674,0.00201167,2.20716e-06
14,3,0.0619682,0.00182629,0.00201167,2.20716e-06
14,4,0.0818936,0.00355242,0.00201167,2.20716e-06
14,5,0.101763,0.00583571,0.00201167,2.20716e-06
14,6,0.12156,0.00867437,0.00201167,2.20716e-06
14,7,0.141271,0.0120662,0.00201167,2.20716e-06
14,8,0.160878,0.0160085,0.00201167,2.20716e-06
14,9,0.180368,0.0204982,0.00201167,2.20716e-06
14,10,0.199724,0.0255317,0.00201167,2.20716e-06
15,0,0.00229155,2.8828e-06,0.00229155,2.8828e-06
15,1,0.0222915,5.796e-05,0.00229155,2.8828e-06
15,2,0.042282,0.00067294,0.00229155,2.8828e-06
15,3,0.0622475,0.00184734,0.00229155,2.8828e-06
15,4,0.0821723,0.00358024,0.00229155,2.8828e-06
15,5,0.102041,0.00587029,0.00229155,2.8828e-06
15,6,0.121837,0.00871568,0.00229155,2.8828e-06
15,7,0.141546,0.0121142,0.00229155,2.8828e-06
15,8,0.161153,0.0160631,0.00229155,2.8828e-06
15,9,0.180641,0.0205595,0.00229155,2.8828e-06
15,10,0.199995,0.0255996,0.00229155,2.8828e-06
16,0,0.00258864,3.70093e-06,0.00258864,3.70093e-06
16,1,0.0225885,6.60674e-05,0.00258864,3.70093e-06
16,2,0.0425789,0.000688333,0.00258864,3.70093e-06
16,3,0.0625439,0.00187001,0.00258864,3.70093e-06
16,4,0.0824681,0.00361017,0.00258864,3.70093e-06
16,5,0.102336,0.00590746,0.00258864,3.70093e-06
16,6,0.122131,0.00876006,0.00258864,3.70093e-06
16,7,0.141839,0.0121658,0.00258864,3.70093e-06
16,8,0.161444,0.0161219,0.00258864,3.70093e-06
16,9,0.18093,0.0206253,0.00258864,3.70093e-06
16,10,0.200283,0.0256725,0.00258864,3.70093e-06
17,0,0.00290275,4.68044e-06,0.00290275,4.68044e-06
17,1,0.0229026,7.48232e-05,0.00290275,4.68044e-06
17,2,0.0428927,0.000704862,0.00290275,4.68044e-06
17,3,0.0628573,0.0018943,0.00290275,4.68044e-06
17,4,0.0827808,0.00364221,0.00290275,4.68044e-06
17,5,0.102647,0.00594722,0.00290275,4.68044e-06
17,6,0.122442,0.00880752,0.00290275,4.68044e-06
17,7,0.142148,0.0122209,0.00290275,4.68044e-06
17,8,0.161752,0.0161846,0.00290275,4.68044e-06
17,9,0.181236,0.0206956,0.00290275,4.68044e-06
17,10,0.200587,0.0257503,0.00290275,4.68044e-06
18,0,0.00323372,5.8412e-06,0.00323372,5.8412e-06
18,1,0.0232336,8.42424e-05,0.00323372,5.8412e-06
18,2,0.0432234,0.000722535,0.00323372,5.8412e-06
18,3,0.0631875,0.00192022,0.00323372,5.8412e-06
18,4,0.0831102,0.00367636,0.00323372,5.8412e-06
18,5,0.102976,0.00598957,0.00323372,5.8412e-06
18,6,0.122769,0.00885804,0.00323372,5.8412e-06
18,7,0.142474,0.0122795,0.00323372,5.8412e-06
18,8,0.162076,0.0162514,0.00323372,5.8412e-06
18,9,0.181559,0.0207704,0.00323372,5.8412e-06
18,10,0.200907,0.0258331,0.00323372,5.8412e-06
19,0,0.00358138,7.20406e-06,0.00358138,7.20406e-06
19,1,0.0269145,0.000108864,0.00358138,7.20406e-06
19,2,0.0502356,0.000863726,0.00358138,7.20406e-06
19,3,0.0735265,0.0022712,0.00358138,7.20406e-06
19,4,0.0967688,0.00433018,0.00358138,7.20406e-06
19,5,0.119944,0.00703905,0.00358138,7.20406e-06
19,6,0.143035,0.0103957,0.00358138,7.20406e-06
19,7,0.166023,0.0143975,0.00358138,7.20406e-06
19,8,0.188889,0.0190412,0.00358138,7.20406e-06
19,9,0.211617,0.0243234,0.00358138,7.20406e-06
19,10,0.234188,0.0302397,0.00358138,7.20406e-06
20,0,0.00394889,8.80529e-06,0.00394889,8.80529e-06
20,1,0.027282,0.000121209,0.00394889,8.80529e-06
20,2,0.0506027,0.000886808,0.00394889,8.80529e-06
20,3,0.0738929,0.002305,0.00394889,8.80529e-06
20,4,0.0971343,0.00437468,0.00394889,8.80529e-06
20,5,0.120309,0.00709423,0.00394889,8.80529e-06
20,6,0.143398,0.0104615,0.00394889,8.80529e-06
20,7,0.166383,0.0144739,0.00394889,8.80529e-06
20,8,0.189248,0.0191282,0.00394889,8.80529e-06
20,9,0.211973,0.0244208,0.00394889,8.80529e-06
20,10,0.234541,0.0303475,0.00394889,8.80529e-06
21,0,0.00433607,1.06704e-05,0.00433607,1.06704e-05
21,1,0.0276691,0.000134363,0.00433607,1.06704e-05
21,2,0.0509895,0.000911246,0.00433607,1.06704e-05
21,3,0.074279,0.00234071,0.00433607,1.06704e-05
21,4,0.0975193,0.00442163,0.00433607,1.06704e-05
21,5,0.120692,0.00715239,0.00433607,1.06704e-05
21,6,0.14378,0.0105308,0.00433607,1.06704e-05
21,7,0.166764,0.0145543,0.00433607,1.06704e-05
21,8,0.189626,0.0192197,0.00433607,1.06704e-05
21,9,0.212348,0.0245233,0.00433607,1.06704e-05
21,10,0.234914,0.0304609,0.00433607,1.06704e-05
22,0,0.0047427,1.28261e-05,0.0047427,1.28261e-05
22,1,0.0280756,0.000148348,0.0047427,1.28261e-05
22,2,0.0513956,0.000937054,0.0047427,1.28261e-05
22,3,0.0746844,0.00237833,0.0047427,1.28261e-05
22,4,0.0979237,0.00447103,0.0047427,1.28261e-05
22,5,0.121095,0.00721353,0.0047427,1.28261e-05
22,6,0.144181,0.0106037,0.0047427,1.28261e-05
22,7,0.167163,0.0146388,0.0047427,1.28261e-05
22,8,0.190023,0.0193158,0.0047427,1.28261e-05
22,9,0.212743,0.0246309,0.0047427,1.28261e-05
22,10,0.235305,0.03058,0.0047427,1.28261e-05
23,0,0.0051686,1.52998e-05,0.0051686,1.52998e-05
23,1,0.0285015,0.000163186,0.0051686,1.52998e-05
23,2,0.051821,0.00096425,0.0051686,1.52998e-05
23,3,0.0751091,0.00241786,0.0051686,1.52998e-05
23,4,0.0983472,0.00452288,0.0051686,1.52998e-05
23,5,0.121517,0.00727766,0.0051686,1.52998e-05
23,6,0.144601,0.01068,0.0051686,1.52998e-05
23,7,0.167581,0.0147274,0.0051686,1.52998e-05
23,8,0.190438,0.0194164,0.0051686,1.52998e-05
23,9,0.213155,0.0247436,0.0051686,1.52998e-05
23,10,0.235714,0.0307046,0.0051686,1.52998e-05
24,0,0.00561357,1.81201e-05,0.00561357,1.81201e-05
24,1,0.0289464,0.000178901,0.00561357,1.81201e-05
24,2,0.0522655,0.000992851,0.00561357,1.81201e-05
24,3,0.0755527,0.00245933,0.00561357,1.81201e-05
24,4,0.0987897,0.0045772,0.00561357,1.81201e-05
24,5,0.121958,0.00734478,0.00561357,1.81201e-05
24,6,0.14504,0.0107599,0.00561357,1.81201e-05
24,7,0.168018,0.0148199,0.00561357,1.81201e-05
24,8,0.190873,0.0195216,0.00561357,1.81201e-05
24,9,0.213587,0.0248613,0.00561357,1.81201e-05
24,10,0.236142,0.0308349,0.00561357,1.81201e-05
25,0,0.00607742,2.13164e-05,0.00607742,2.13164e-05
25,1,0.0294101,0.000195516,0.00607742,2.13164e-05
25,2,0.0527288,0.00102288,0.00607742,2.13164e-05
25,3,0.0760151,0.00250275,0.00607742,2.13164e-05
25,4,0.0992509,0.00463398,0.00607742,2.13164e-05
25,5,0.122418,0.00741488,0.00607742,2.13164e-05
25,6,0.145498,0.0108433,0.00607742,2.13164e-05
25,7,0.168473,0.0149165,0.00607742,2.13164e-05
25,8,0.191325,0.0196314,0.00607742,2.13164e-05
25,9,0.214036,0.0249841,0.00607742,2.13164e-05
25,10,0.236588,0.0309706,0.00607742,2.13164e-05
26,0,0.00655997,2.4919e-05,0.00655997,2.4919e-05
26,1,0.0298925,0.000213056,0.00655997,2.4919e-05
26,2,0.0532107,0.00105435,0.00655997,2.4919e-05
26,3,0.0764962,0.00254813,0.00655997,2.4919e-05
26,4,0.0997307,0.00469323,0.00655997,2.4919e-05
26,5,0.122896,0.00748798,0.00655997,2.4919e-05
26,6,0.145974,0.0109302,0.00655997,2.4919e-05
26,7,0.168947,0.0150171,0.00655997,2.4919e-05
26,8,0.191796,0.0197456,0.00655997,2.4919e-05
26,9,0.214504,0.025112,0.00655997,2.4919e-05
26,10,0.237052,0.0311119,0.00655997,2.4919e-05
27,0,0.00706102,2.89591e-05,0.00706102,2.89591e-05
27,1,0.0303935,0.000231547,0.00706102,2.89591e-05
27,2,0.0537111,0.00108728,0.00706102,2.89591e-05
27,3,0.0769956,0.00259548,0.00706102,2.89591e-05
27,4,0.100229,0.00475498,0.00706102,2.89591e-05
27,5,0.123392,0.00756407,0.00706102,2.89591e-05
27,6,0.146468,0.0110206,0.00706102,2.89591e-05
27,7,0.169438,0.0151217,0.00706102,2.89591e-05
27,8,0.192285,0.0198644,0.00706102,2.89591e-05
27,9,0.214989,0.0252448,0.00706102,2.89591e-05
27,10,0.237534,0.0312587,0.00706102,2.89591e-05
28,0,0.00758039,3.34686e-05,0.00758039,3.34686e-05
28,1,0.0309127,0.000251017,0.00758039,3.34686e-05
28,2,0.0542298,0.0011217,0.00758039,3.34686e-05
28,3,0.0775134,0.00264483,0.00758039,3.34686e-05
28,4,0.100745,0.00481923,0.00758039,3.34686e-05
28,5,0.123907,0.00764317,0.00758039,3.34686e-05
28,6,0.146981,0.0111145,0.00758039,3.34686e-05
28,7,0.169948,0.0152304,0.00758039,3.34686e-05
28,8,0.192791,0.0199877,0.00758039,3.34686e-05
28,9,0.215492,0.0253826,0.00758039,3.34686e-05
28,10,0.238034,0.031411,0.00758039,3.34686e-05
29,0,0.00811789,3.84803e-05,0.00811789,3.84803e-05
29,1,0.0314501,0.000271492,0.00811789,3.84803e-05
29,2,0.0547666,0.00115763,0.00811789,3.84803e-05
29,3,0.0780491,0.00269619,0.00811789,3.84803e-05
29,4,0.101279,0.00488598,0.00811789,3.84803e-05
29,5,0.124439,0.00772528,0.00811789,3.84803e-05
29,6,0.147511,0.0112119,0.00811789,3.84803e-05
29,7,0.170476,0.015343,0.00811789,3.84803e-05
29,8,0.193316,0.0201154,0.00811789,3.84803e-05
29,9,0.216013,0.0255254,0.00811789,3.84803e-05
29,10,0.23855,0.0315687,0.00811789,3.84803e-05
30,0,0.00867335,4.40275e-05,0.00867335,4.40275e-05
30,1,0.0320054,0.000293002,0.00867335,4.40275e-05
30,2,0.0553212,0.00119509,0.00867335,4.40275e-05
30,3,0.0786027,0.00274958,0.00867335,4.40275e-05
30,4,0.101832,0.00495526,0.00867335,4.40275e-05
30,5,0.12499,0.0078104,0.00867335,4.40275e-05
30,6,0.148059,0.0113128,0.00867335,4.40275e-05
30,7,0.17102,0.0154596,0.00867335,4.40275e-05
30,8,0.193857,0.0202477,0.00867335,4.40275e-05
30,9,0.216551,0.0256732,0.00867335,4.40275e-05
30,10,0.239084,0.0317319,0.00867335,4.40275e-05
31,0,0.00924658,5.01444e-05,0.00924658,5.01444e-05
31,1,0.0325784,0.000315575,0.00924658,5.01444e-05
31,2,0.0558898,0.00132736,0.00924658,5.01444e-05
31,3,0.0791569,0.00308446,0.00924658,5.01444e-05
31,4,0.102356,0.00558509,0.00924658,5.01444e-05
31,5,0.125463,0.00882667,0.00924658,5.01444e-05
31,6,0.148454,0.0128059,0.00924658,5.01444e-05
31,7,0.171307,0.0175187,0.00924658,5.01444e-05
31,8,0.193997,0.0229602,0.00924658,5.01444e-05
31,9,0.216501,0.0291249,0.00924658,5.01444e-05
31,10,0.238797,0.0360065,0.00924658,5.01444e-05
32,0,0.00983741,5.68658e-05,0.00983741,5.68658e-05
32,1,0.033169,0.000339334,0.00983741,5.68658e-05
32,2,0.0564797,0.00136814,0.00983741,5.68658e-05
32,3,0.0797455,0.00314224,0.00983741,5.68658e-05
32,4,0.102943,0.0056598,0.00983741,5.68658e-05
32,5,0.126047,0.00891826,0.00983741,5.68658e-05
32,6,0.149036,0.0129143,0.00983741,5.68658e-05
32,7,0.171885,0.0176437,0.00983741,5.68658e-05
32,8,0.194571,0.0231018,0.00983741,5.68658e-05
32,9,0.217071,0.029283,0.00983741,5.68658e-05
32,10,0.239361,0.0361808,0.00983741,5.68658e-05
33,0,0.0104457,6.42297e-05,0.0104457,6.42297e-05
33,1,0.0337771,0.000364312,0.0104457,6.42297e-05
33,2,0.0570869,0.00141072,0.0104457,6.42297e-05
33,3,0.0803514,0.00320238,0.0104457,6.42297e-05
33,4,0.103547,0.00573745,0.0104457,6.42297e-05
33,5,0.126649,0.00901335,0.0104457,6.42297e-05
33,6,0.149634,0.0130267,0.0104457,6.42297e-05
33,7,0.17248,0.0177734,0.0104457,6.42297e-05
33,8,0.195162,0.0232487,0.0104457,6.42297e-05
